timestamp(ms),x,dx,theta,dtheta,
"1757540648.878","0",,,,
"1757540648.879",,"0",,,
"1757540648.88",,,"-0.01",,
"1757540648.882",,,,,
"1757540648.98","0",,,,
"1757540648.981",,"0",,,
"1757540648.982",,,"-0.01",,
"1757540649.08","0",,,,
"1757540649.081",,"0",,,
"1757540649.083",,,"-0.01",,
